mouse,gender,genotype,age,endpoint,measure,tissue
JX2,M,Q111/+,12,Drd2,0.658966,striatum
JX3,M,Q111/+,12,Drd2,1.137314,striatum
JX4,M,Q111/+,12,Drd2,1.68825,striatum
JY1,F,+/+,12,Drd2,1.179941,striatum
JY2,F,+/+,12,Drd2,1.863096,striatum
JY3,F,+/+,12,Drd2,0.889627,striatum
JY4,F,+/+,12,Drd2,1.165125,striatum
JZ1,F,Q111/+,12,Drd2,1.099216,striatum
JZ2,F,Q111/+,12,Drd2,0.702204,striatum
JZ3,F,Q111/+,12,Drd2,0.816896,striatum
JZ4,F,Q111/+,12,Drd2,0.64698,striatum
HW5,F,+/+,3,Darpp32,0.871073,striatum
HX5,M,Q111/+,3,Darpp32,0.805319,striatum
FW5,F,+/+,9,Darpp32,1.16791,striatum
MH5,M,Q111/+,9,Darpp32,0.538401,striatum
HZ1,F,Q111/+,3,Darpp32,1.180433,striatum
HZ2,F,Q111/+,3,Darpp32,1.262144,striatum
HZ3,F,Q111/+,3,Darpp32,1.438119,striatum
HZ4,F,Q111/+,3,Darpp32,1.494082,striatum
HW1,F,+/+,3,Darpp32,1.525539,striatum
HW2,F,+/+,3,Darpp32,1.986292,striatum
HW3,F,+/+,3,Darpp32,1.718536,striatum
HW4,F,+/+,3,Darpp32,2.004689,striatum
HX1,M,Q111/+,3,Darpp32,0.973837,striatum
HX2,M,Q111/+,3,Darpp32,1.00667,striatum
HX3,M,Q111/+,3,Darpp32,0.864982,striatum
HX4,M,Q111/+,3,Darpp32,1.509609,striatum
HV1,M,+/+,3,Darpp32,1.165058,striatum
HV2,M,+/+,3,Darpp32,0.998212,striatum
HV3,M,+/+,3,Darpp32,0.897236,striatum
HV4,M,+/+,3,Darpp32,0.850496,striatum
FH1,F,Q111/+,9,Darpp32,0.695329,striatum
FH2,F,Q111/+,9,Darpp32,0.778807,striatum
FH3,F,Q111/+,9,Darpp32,1.038066,striatum
FH4,F,Q111/+,9,Darpp32,0.913339,striatum
FW1,F,+/+,9,Darpp32,1.294808,striatum
FW3,F,+/+,9,Darpp32,1.300007,striatum
FW4,F,+/+,9,Darpp32,1.591938,striatum
MH1,F,+/+,9,Darpp32,1.066076,striatum
MH2,M,Q111/+,9,Darpp32,0.971349,striatum
MH3,M,Q111/+,9,Darpp32,0.875726,striatum
MH4,M,Q111/+,9,Darpp32,1.258005,striatum
MW1,M,Q111/+,9,Darpp32,1.665401,striatum
MW2,M,+/+,9,Darpp32,1.431134,striatum
MW3,M,+/+,9,Darpp32,0.452291,striatum
MW4,M,+/+,9,Darpp32,1.548375,striatum
JY5,F,+/+,12,Darpp32,1.870038,striatum
JX5,M,Q111/+,12,Darpp32,0.461838,striatum
JW1,M,+/+,12,Darpp32,0.898127,striatum
JW2,M,+/+,12,Darpp32,1.023799,striatum
JW3,M,+/+,12,Darpp32,0.93846,striatum
JW4,M,+/+,12,Darpp32,1.050403,striatum
JX1,M,Q111/+,12,Darpp32,0.463912,striatum
JX2,M,Q111/+,12,Darpp32,0.531617,striatum
JX3,M,Q111/+,12,Darpp32,1.154059,striatum
JX4,M,Q111/+,12,Darpp32,1.816384,striatum
JY1,F,+/+,12,Darpp32,1.274743,striatum
JY2,F,+/+,12,Darpp32,2.745005,striatum
JY3,F,+/+,12,Darpp32,1.115792,striatum
JY4,F,+/+,12,Darpp32,1.426881,striatum
JZ1,F,Q111/+,12,Darpp32,1.206122,striatum
JZ2,F,Q111/+,12,Darpp32,0.740736,striatum
JZ3,F,Q111/+,12,Darpp32,0.812097,striatum
JZ4,F,Q111/+,12,Darpp32,0.817479,striatum
JY5,F,+/+,12,Scn4b,1.333303,striatum
JX5,M,Q111/+,12,Scn4b,0.592746,striatum
JW1,M,+/+,12,Scn4b,0.832378,striatum
JW2,M,+/+,12,Scn4b,1.286359,striatum
JW3,M,+/+,12,Scn4b,1.203884,striatum
JW4,M,+/+,12,Scn4b,1.446689,striatum
JX1,M,Q111/+,12,Scn4b,0.512285,striatum
JX2,M,Q111/+,12,Scn4b,0.680332,striatum
JX3,M,Q111/+,12,Scn4b,0.567829,striatum
JX4,M,Q111/+,12,Scn4b,0.787786,striatum
JY1,F,+/+,12,Scn4b,1.114942,striatum
JY2,F,+/+,12,Scn4b,1.482773,striatum
JY3,F,+/+,12,Scn4b,1.165593,striatum
JY4,F,+/+,12,Scn4b,1.056013,striatum
JZ1,F,Q111/+,12,Scn4b,0.569534,striatum
JZ2,F,Q111/+,12,Scn4b,0.647811,striatum
JZ3,F,Q111/+,12,Scn4b,0.503034,striatum
JZ4,F,Q111/+,12,Scn4b,0.63377,striatum
HW5,F,+/+,3,Scn4b,1.029277,striatum
HX5,M,Q111/+,3,Scn4b,0.853538,striatum
HZ1,F,Q111/+,3,Scn4b,1.247805,striatum
HZ2,F,Q111/+,3,Scn4b,1.230501,striatum
HZ3,F,Q111/+,3,Scn4b,1.500617,striatum
HZ4,F,Q111/+,3,Scn4b,1.64003,striatum
HW1,F,+/+,3,Scn4b,1.563353,striatum
HW2,F,+/+,3,Scn4b,2.34036,striatum
HW3,F,+/+,3,Scn4b,2.1032,striatum
HW4,F,+/+,3,Scn4b,2.588886,striatum
HX1,M,Q111/+,3,Scn4b,1.04816,striatum
HX2,M,Q111/+,3,Scn4b,0.854638,striatum
HX3,M,Q111/+,3,Scn4b,0.7147,striatum
HX4,M,Q111/+,3,Scn4b,0.980418,striatum
HV1,M,+/+,3,Scn4b,0.876996,striatum
HV2,M,+/+,3,Scn4b,1.037018,striatum
HV3,M,+/+,3,Scn4b,0.889288,striatum
HV4,M,+/+,3,Scn4b,0.835064,striatum
FW5,F,+/+,9,Scn4b,0.999562,striatum
FH1,F,Q111/+,9,Scn4b,0.470254,striatum
FH2,F,Q111/+,9,Scn4b,0.499718,striatum
FH4,F,Q111/+,9,Scn4b,0.624241,striatum
FW1,F,+/+,9,Scn4b,1.337714,striatum
FW2,F,+/+,9,Scn4b,0.921576,striatum
FW3,F,+/+,9,Scn4b,1.440809,striatum
FW4,F,+/+,9,Scn4b,0.947925,striatum
MH1,M,Q111/+,9,Scn4b,0.562687,striatum
MH2,M,Q111/+,9,Scn4b,0.742113,striatum
MH3,M,Q111/+,9,Scn4b,0.791905,striatum
MH4,M,Q111/+,9,Scn4b,0.850921,striatum
MW1,M,+/+,9,Scn4b,0.728504,striatum
MW2,M,+/+,9,Scn4b,1.420349,striatum
MW4,M,+/+,9,Scn4b,1.536961,striatum
HW5,F,+/+,3,Cnr1,1.168635,striatum
HX5,M,Q111/+,3,Cnr1,1.00613,striatum
HZ1,F,Q111/+,3,Cnr1,0.98248,striatum
HZ2,F,Q111/+,3,Cnr1,1.208821,striatum
HZ3,F,Q111/+,3,Cnr1,1.384951,striatum
HZ4,F,Q111/+,3,Cnr1,1.691717,striatum
HW1,F,+/+,3,Cnr1,1.47583,striatum
HW2,F,+/+,3,Cnr1,1.913028,striatum
HW3,F,+/+,3,Cnr1,1.97983,striatum
HW4,F,+/+,3,Cnr1,2.155136,striatum
HX1,M,Q111/+,3,Cnr1,1.133312,striatum
HX2,M,Q111/+,3,Cnr1,1.002179,striatum
HX3,M,Q111/+,3,Cnr1,0.901252,striatum
HX4,M,Q111/+,3,Cnr1,1.238295,striatum
HV1,M,+/+,3,Cnr1,1.078642,striatum
HV2,M,+/+,3,Cnr1,0.998473,striatum
HV3,M,+/+,3,Cnr1,1.019042,striatum
HV4,M,+/+,3,Cnr1,0.839509,striatum
FW5,F,+/+,9,Cnr1,1.464305,striatum
MH5,M,Q111/+,9,Cnr1,0.254608,striatum
FH1,F,Q111/+,9,Cnr1,0.647734,striatum
FH2,F,Q111/+,9,Cnr1,0.690375,striatum
FH3,F,Q111/+,9,Cnr1,0.192705,striatum
FH4,F,Q111/+,9,Cnr1,0.805807,striatum
FW1,F,+/+,9,Cnr1,1.386742,striatum
FW2,F,+/+,9,Cnr1,1.155111,striatum
FW3,F,+/+,9,Cnr1,1.363298,striatum
FW4,F,+/+,9,Cnr1,1.638333,striatum
MH1,M,Q111/+,9,Cnr1,0.895133,striatum
MH2,M,Q111/+,9,Cnr1,0.916315,striatum
MH3,M,Q111/+,9,Cnr1,0.854994,striatum
MH4,M,Q111/+,9,Cnr1,1.197761,striatum
MW1,M,+/+,9,Cnr1,2.253047,striatum
MW2,M,+/+,9,Cnr1,1.302623,striatum
MW3,M,+/+,9,Cnr1,0.140794,striatum
MW4,M,+/+,9,Cnr1,1.402263,striatum
JY5,F,+/+,12,Cnr1,4.408692,striatum
JX5,M,Q111/+,12,Cnr1,0.709752,striatum
JW1,M,+/+,12,Cnr1,1.328568,striatum
JW2,M,+/+,12,Cnr1,2.096546,striatum
JW3,M,+/+,12,Cnr1,1.505663,striatum
JW4,M,+/+,12,Cnr1,1.960351,striatum
JX1,M,Q111/+,12,Cnr1,0.8178,striatum
JX2,M,Q111/+,12,Cnr1,0.950185,striatum
JX3,M,Q111/+,12,Cnr1,2.134833,striatum
JX4,M,Q111/+,12,Cnr1,3.932602,striatum
JY1,F,+/+,12,Cnr1,2.009222,striatum
JY2,F,+/+,12,Cnr1,5.799429,striatum
JY3,F,+/+,12,Cnr1,1.587181,striatum
JY4,F,+/+,12,Cnr1,2.051464,striatum
JZ1,F,Q111/+,12,Cnr1,2.061326,striatum
JZ2,F,Q111/+,12,Cnr1,0.909268,striatum
JZ3,F,Q111/+,12,Cnr1,1.177914,striatum
JZ4,F,Q111/+,12,Cnr1,0.900445,striatum
FW5,F,+/+,9,Homer1,0.505608,striatum
MH5,M,Q111/+,9,Homer1,0.248955,striatum
HW5,F,+/+,3,Homer1,0.431675,striatum
HX5,M,Q111/+,3,Homer1,0.413339,striatum
FH1,F,Q111/+,9,Homer1,1.358801,striatum
FH2,F,Q111/+,9,Homer1,0.310294,striatum
FH3,F,Q111/+,9,Homer1,0.696951,striatum
FH4,F,Q111/+,9,Homer1,0.326208,striatum
FW1,F,+/+,9,Homer1,0.676829,striatum
FW2,F,+/+,9,Homer1,0.54284,striatum
FW3,F,+/+,9,Homer1,1.461806,striatum
FW4,F,+/+,9,Homer1,0.657769,striatum
MH1,M,Q111/+,9,Homer1,0.767192,striatum
MH2,M,Q111/+,9,Homer1,0.345672,striatum
MH3,M,Q111/+,9,Homer1,0.30705,striatum
MH4,M,Q111/+,9,Homer1,0.471593,striatum
MW1,M,+/+,9,Homer1,1.08503,striatum
MW2,M,+/+,9,Homer1,0.494338,striatum
MW3,M,+/+,9,Homer1,0.377803,striatum
MW4,M,+/+,9,Homer1,0.584908,striatum
HX1,M,Q111/+,3,Homer1,0.641191,striatum
HX2,M,Q111/+,3,Homer1,0.393141,striatum
HX3,M,Q111/+,3,Homer1,0.46724,striatum
HX4,M,Q111/+,3,Homer1,0.441648,striatum
HV1,M,+/+,3,Homer1,0.505674,striatum
HV2,M,+/+,3,Homer1,0.522127,striatum
HV3,M,+/+,3,Homer1,0.506334,striatum
HV4,M,+/+,3,Homer1,0.553047,striatum
HZ1,F,Q111/+,3,Homer1,0.996284,striatum
HZ2,F,Q111/+,3,Homer1,0.418903,striatum
HZ3,F,Q111/+,3,Homer1,0.690701,striatum
HZ4,F,Q111/+,3,Homer1,0.487701,striatum
HW1,F,+/+,3,Homer1,0.458332,striatum
HW2,F,+/+,3,Homer1,0.379755,striatum
HW3,F,+/+,3,Homer1,0.545381,striatum
HW4,F,+/+,3,Homer1,0.413033,striatum
JY5,F,+/+,12,Homer1,1.487899,striatum
JX5,M,Q111/+,12,Homer1,0.444244,striatum
JY1,F,+/+,12,Homer1,0.880037,striatum
JY2,F,+/+,12,Homer1,1.84918,striatum
JY3,F,+/+,12,Homer1,0.885403,striatum
JZ1,F,Q111/+,12,Homer1,0.82247,striatum
JZ2,F,Q111/+,12,Homer1,0.606339,striatum
JZ3,F,Q111/+,12,Homer1,0.580238,striatum
JZ4,F,Q111/+,12,Homer1,0.618777,striatum
JW1,M,+/+,12,Homer1,0.788443,striatum
JW2,M,+/+,12,Homer1,0.91301,striatum
JW3,M,+/+,12,Homer1,0.790776,striatum
JW4,M,+/+,12,Homer1,1.177891,striatum
JX1,M,Q111/+,12,Homer1,0.56686,striatum
JX2,M,Q111/+,12,Homer1,0.486092,striatum
JX3,M,Q111/+,12,Homer1,0.963791,striatum
JX4,M,Q111/+,12,Homer1,1.66215,striatum
HW5,F,+/+,3,Abhd1,0.179246,liver
HX5,M,Q111/+,3,Abhd1,1.789189,liver
HZ1,F,Q111/+,3,Abhd1,2.615167,liver
